open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,SMA,EMA,%K,%D,macd,macdsignal,BB_lower,BB_middle,BB_upper,SMA_short,SMA_long,ATR,RSI,RSI_min,RSI_max,RSI_support,RSI_resistance,volume_ma,rsi_potential_breakout,rsi_ema,rsi_breakout,EMA_50,EMA_200
1652482800000,68.70000000,69.0,67.5,67.9,30710.873,1652486399999,2091220.99730000,3895,14723.56600000,1003129.54320000,0,,,,,,,,,,,,,,,,,,,False,,False,,
1652486400000,67.80000000,69.3,67.2,68.9,27510.939,1652489999999,1885398.27730000,3952,13430.57600000,920794.67130000,0,,,,,,,,,,,,,,,,,,,False,,False,,
1652490000000,68.80000000,70.3,68.4,69.6,20113.365,1652493599999,1399860.91290000,3137,10265.36700000,714598.55430000,0,,,,,,,,,,,,,,,,,,26111.725666666665,False,,False,,
1652493600000,69.70000000,69.8,68.8,69.1,15537.974,1652497199999,1078896.72250000,2439,8930.57000000,620341.38440000,0,,,,,,,,,,,,,,,,,,21054.092666666667,False,,False,,
1652497200000,69.10000000,69.7,68.5,68.9,16520.824,1652500799999,1143152.65970000,2391,8512.63100000,589068.20150000,0,,,,,,,,,,,,,,,,,,17390.721,False,,False,,
1652500800000,68.80000000,68.9,67.1,67.5,18552.679,1652504399999,1259104.63300000,2855,7014.22900000,476515.12210000,0,,,,,,,,,,,,,,,,,,16870.49233333333,False,,False,,
1652504400000,67.50000000,68.1,67.1,67.9,21612.061,1652507999999,1459887.04770000,3019,10199.53700000,689448.20790000,0,,,,,,,,,,,,,,,,,,18895.188,False,,False,,
1652508000000,67.90000000,68.4,67.4,67.9,12931.09,1652511599999,879185.61940000,1958,6037.44200000,410456.24110000,0,,,,,,,,,,,,,,,,,,17698.61,False,,False,,
1652511600000,67.90000000,68.2,67.5,67.7,13732.255,1652515199999,932198.58460000,1817,8781.61100000,596434.07110000,0,,,,,,,,,,,,,,,,,,16091.801999999998,False,,False,,
1652515200000,67.60000000,68.6,67.5,68.5,18020.974,1652518799999,1226664.95460000,2388,11269.98700000,767246.68820000,0,,,,,,,,,,,,,,,,,,14894.772999999996,False,,False,,
1652518800000,68.40000000,68.9,67.5,68.0,21050.663,1652522399999,1431726.25980000,2801,9144.03800000,622036.88570000,0,,,,,,,,,,,,,,,,,,17601.297333333332,False,,False,,
1652522400000,68.00000000,68.2,65.4,65.8,40931.028,1652525999999,2726957.47650000,4614,14186.62700000,944002.16170000,0,,,,,,,,,,,,,,,,,,26667.554999999997,False,,False,,
1652526000000,65.80000000,66.1,65.0,65.7,42477.5,1652529599999,2774580.21720000,5271,18456.82500000,1206813.41400000,0,,,,,,,,,,,,,,,,,,34819.73033333333,False,,False,,
1652529600000,65.70000000,66.1,64.9,65.7,28142.067,1652533199999,1844501.48460000,3863,13001.02000000,853192.88760000,0,,,,,,,,,,,,,,,,,,37183.53166666666,False,,False,,
1652533200000,65.70000000,66.0,64.4,64.8,20719.022,1652536799999,1346651.26190000,3935,9989.45000000,649137.03690000,0,,,,,,,,,,,,,,,,,,30446.196333333326,False,,False,,
1652536800000,64.70000000,65.3,64.2,64.9,20160.911,1652540399999,1302096.93010000,3509,9837.75200000,635865.22910000,0,,,,,,,,,,,,,,,,,,23007.333333333332,False,,False,,
1652540400000,64.90000000,65.5,64.3,64.8,16796.6,1652543999999,1089729.34300000,3150,10394.93800000,674184.85270000,0,,,,,,,,,,,,,,,,,,19225.511,False,,False,,
1652544000000,64.70000000,67.5,64.3,66.7,31995.317,1652547599999,2113018.30500000,5533,16760.51300000,1105997.34280000,0,,,,,,,,,,,,,,,,,,22984.275999999998,False,,False,,
1652547600000,66.60000000,67.9,66.3,67.5,39222.472,1652551199999,2634905.19430000,3889,15398.61500000,1035338.44570000,0,,,,,,,,,,,,,,,,,,29338.129666666664,False,,False,,
1652551200000,67.60000000,68.0,67.2,67.4,21415.828,1652554799999,1447666.12150000,3205,11272.24200000,761899.34380000,0,,,,,,,,,,,,,,,,,,30877.87233333333,False,,False,,
1652554800000,67.40000000,67.9,66.8,66.9,12805.201,1652558399999,861778.80530000,2148,6051.61300000,407655.75140000,0,,,,,,,,,,,,,,,,,,24481.166999999998,False,,False,,
1652558400000,66.90000000,67.8,66.3,66.4,29387.389,1652561999999,1969119.46720000,2649,12288.79600000,823888.02220000,0,,,,,,,,,,,,,,,,,,21202.805999999997,False,,False,,
1652562000000,66.50000000,68.5,66.4,68.1,20201.413,1652565599999,1354240.71970000,3223,11200.42000000,751966.70600000,0,,,,,,,,,,,,,,,,,,20798.000999999997,False,,False,,
1652565600000,68.10000000,69.5,67.6,69.1,28908.184,1652569199999,1979397.53990000,3945,14550.35200000,996943.22940000,0,,,,,,,,,,,,,,,,,,26165.661999999997,False,,False,,
1652569200000,69.20000000,69.4,68.4,68.9,18236.251,1652572799999,1256473.21280000,2582,10513.84600000,724826.50130000,0,,,,,,,,,,,,,,,,,,22448.615999999998,False,,False,,
1652572800000,68.80000000,69.3,67.7,68.0,58814.001,1652576399999,4029655.38120000,5156,27106.57800000,1857351.77150000,0,,,,,0.1781319436089177,,,,,,,,,,,,,35319.47866666666,False,,False,,
1652576400000,68.00000000,68.3,67.5,68.0,13146.781,1652579999999,891011.15050000,2168,6478.54700000,439157.32590000,0,,,,,0.19797664568793039,,,,,,,,,,,,,30065.67766666666,False,,False,,
