open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,SMA,EMA,%K,%D,macd,macdsignal,BB_lower,BB_middle,BB_upper,SMA_short,SMA_long,ATR,RSI,RSI_min,RSI_max,RSI_support,RSI_resistance,volume_ma,rsi_potential_breakout,rsi_ema,rsi_breakout,EMA_50,EMA_200
1652482800000,0.43010000,0.432,0.4205,0.4228,28732120.0,1652486399999,12228715.13870000,23599,14047967.00000000,5977780.48840000,0,,,,,,,,,,,,,,,,,,,False,,False,,
1652486400000,0.42290000,0.432,0.42,0.4311,28197449.0,1652489999999,12021931.43550000,25215,14229758.00000000,6068492.09820000,0,,,,,,,,,,,,,,,,,,,False,,False,,
1652490000000,0.43120000,0.441,0.4279,0.4373,27553578.0,1652493599999,11996788.68960000,23730,13941884.00000000,6067993.18740000,0,,,,,,,,,,,,,,,,,,28161049.0,False,,False,,
1652493600000,0.43730000,0.4385,0.4329,0.4332,17650460.0,1652497199999,7698895.51490000,14610,8719539.00000000,3803222.01940000,0,,,,,,,,,,,,,,,,,,24467162.333333332,False,,False,,
1652497200000,0.43320000,0.4371,0.4316,0.4352,13448354.0,1652500799999,5840695.23120000,12189,6610208.00000000,2870607.14870000,0,,,,,,,,,,,,,,,,,,19550797.333333332,False,,False,,
1652500800000,0.43520000,0.4355,0.4233,0.426,17479467.0,1652504399999,7517951.09470000,13409,8352039.00000000,3595388.93970000,0,,,,,,,,,,,,,,,,,,16192760.333333334,False,,False,,
1652504400000,0.42600000,0.4314,0.4239,0.4301,13103503.0,1652507999999,5606402.30700000,10483,6199756.00000000,2653103.75320000,0,,,,,,,,,,,,,,,,,,14677108.0,False,,False,,
1652508000000,0.43010000,0.4343,0.4285,0.4313,10512784.0,1652511599999,4537046.16060000,9322,4598866.00000000,1984384.30830000,0,,,,,,,,,,,,,,,,,,13698584.666666666,False,,False,,
1652511600000,0.43130000,0.4332,0.4276,0.4281,10522996.0,1652515199999,4531534.84470000,9003,4587186.00000000,1975247.36290000,0,,,,,,,,,,,,,,,,,,11379761.0,False,,False,,
1652515200000,0.42810000,0.4315,0.4258,0.4305,14514951.0,1652518799999,6224104.69550000,12238,6583422.00000000,2823690.69440000,0,,,,,,,,,,,,,,,,,,11850243.666666666,False,,False,,
1652518800000,0.43040000,0.4339,0.4242,0.4262,21103649.0,1652522399999,9038286.28430000,14559,10612323.00000000,4544706.17900000,0,,,,,,,,,,,,,,,,,,15380532.0,False,,False,,
1652522400000,0.42620000,0.4263,0.4125,0.415,22644952.0,1652525999999,9509204.17800000,15768,9782058.00000000,4107258.89300000,0,,,,,,,,,,,,,,,,,,19421184.0,False,,False,,
1652526000000,0.41510000,0.4171,0.403,0.4095,38023840.0,1652529599999,15531177.95290000,26824,18336172.00000000,7488981.05820000,0,,,,,,,,,,,,,,,,,,27257480.333333332,False,,False,,
1652529600000,0.40950000,0.4123,0.4048,0.4057,19653459.0,1652533199999,8027772.57770000,14209,9372581.00000000,3828009.62040000,0,,,,,,,,,,,,,,,,,,26774083.666666668,False,,False,,
1652533200000,0.40570000,0.4083,0.3972,0.3985,25789237.0,1652536799999,10374887.07850000,19614,11746875.00000000,4726237.25980000,0,,,,,,,,,,,,,,,,,,27822178.666666668,False,,False,,
1652536800000,0.39860000,0.4022,0.3955,0.4019,19155548.0,1652540399999,7647524.71100000,17754,9692916.00000000,3869907.24210000,0,,,,,,,,,,,,,,,,,,21532748.0,False,,False,,
1652540400000,0.40180000,0.4059,0.3996,0.4018,17720231.0,1652543999999,7119954.90990000,12018,7762322.00000000,3118694.28650000,0,,,,,,,,,,,,,,,,,,20888338.666666668,False,,False,,
1652544000000,0.40180000,0.4224,0.3991,0.4161,35285655.0,1652547599999,14508730.99080000,24826,17463414.00000000,7191529.41210000,0,,,,,,,,,,,,,,,,,,24053811.333333332,False,,False,,
1652547600000,0.41620000,0.4196,0.4113,0.4179,16781136.0,1652551199999,6980241.85630000,13711,8183606.00000000,3404452.33750000,0,,,,,,,,,,,,,,,,,,23262340.666666668,False,,False,,
1652551200000,0.41800000,0.4213,0.4147,0.4156,16220484.0,1652554799999,6784558.77510000,12273,7863300.00000000,3288915.42250000,0,,,,,,,,,,,,,,,,,,22762425.0,False,,False,,
1652554800000,0.41570000,0.4181,0.4106,0.4126,7794000.0,1652558399999,3225557.72570000,6811,4191207.00000000,1734228.06790000,0,,,,,,,,,,,,,,,,,,13598540.0,False,,False,,
1652558400000,0.41260000,0.4176,0.4115,0.413,7363540.0,1652561999999,3051944.60840000,6899,3693801.00000000,1530972.13660000,0,,,,,,,,,,,,,,,,,,10459341.333333334,False,,False,,
1652562000000,0.41310000,0.4264,0.4131,0.4222,8261351.0,1652565599999,3474514.74970000,7776,4102081.00000000,1724394.37570000,0,,,,,,,,,,,,,,,,,,7806297.0,False,,False,,
1652565600000,0.42220000,0.4305,0.4192,0.427,19050020.0,1652569199999,8089799.20720000,13753,9673347.00000000,4107353.98190000,0,,,,,,,,,,,,,,,,,,11558303.666666666,False,,False,,
1652569200000,0.42690000,0.4292,0.4235,0.4262,15014527.0,1652572799999,6404862.13320000,9946,7479795.00000000,3190303.56480000,0,,,,,,,,,,,,,,,,,,14108632.666666666,False,,False,,
1652572800000,0.42620000,0.4307,0.4225,0.4258,14675449.0,1652576399999,6261039.61660000,11683,7307230.00000000,3116684.54210000,0,,,,,-0.00096430867394387,,,,,,,,,,,,,16246665.333333334,False,,False,,
1652576400000,0.42570000,0.4265,0.4188,0.4215,9247432.0,1652579999999,3903123.68250000,8023,4431821.00000000,1870969.57030000,0,,,,,-0.0007594994061138061,,,,,,,,,,,,,12979136.0,False,,False,,
1652580000000,0.42150000,0.4246,0.4161,0.4203,12045089.0,1652583599999,5050286.48560000,8908,5679638.00000000,2382695.18920000,0,,,,,-0.0006861075363767122,,,,,,,,,,,,,11989323.333333334,False,,False,,
1652583600000,0.42040000,0.4213,0.4149,0.4191,7714213.0,1652587199999,3223972.22760000,6640,3919200.00000000,1638237.11200000,0,,,,,-0.0007165143901567972,,,,,,,,,,,,,9668911.333333334,False,,False,,
1652587200000,0.41910000,0.4209,0.4149,0.417,8381618.0,1652590799999,3503474.54250000,6931,3829561.00000000,1600723.98190000,0,,,,,-0.0008996933851108668,,,,,,,,,,,,,9380306.666666666,False,,False,,
1652590800000,0.41700000,0.4246,0.4163,0.4232,9068917.0,1652594399999,3809507.42760000,7978,4954575.00000000,2081286.51080000,0,,,,,-0.0005383698810422777,,,,,,,,,,,,,8388249.333333333,False,,False,,
1652594400000,0.42330000,0.4254,0.4199,0.4249,8567243.0,1652597999999,3619285.02330000,7329,4393224.00000000,1855812.05650000,0,,,,,-0.00011353386069168359,,,,,,,,,,,,,8672592.666666666,False,,False,,
1652598000000,0.42480000,0.4264,0.4196,0.4203,8232880.0,1652601599999,3487298.11570000,7248,3735455.00000000,1582320.76380000,0,,,,,-0.0001463428605801842,,,,,,,,,,,,,8623013.333333334,False,,False,,
